USA,Database,Name,Accession,Type,Length,GC,CAI,Organism,Description
fasta::barcode01.ffn:bc01_00077,-,bc01_00077,-,N,1128,56.12,0.428,,hypothetical protein
fasta::barcode01.ffn:bc01_00078,-,bc01_00078,-,N,1152,73.61,0.719,,HDOD domain protein
fasta::barcode01.ffn:bc01_00079,-,bc01_00079,-,N,441,66.67,0.678,,Activator of Hsp90 ATPase -like protein
fasta::barcode01.ffn:bc01_00080,-,bc01_00080,-,N,312,69.23,0.729,,hypothetical protein
fasta::barcode01.ffn:bc01_00081,-,bc01_00081,-,N,1065,69.01,0.754,,Protease PrtS
fasta::barcode01.ffn:bc01_00082,-,bc01_00082,-,N,657,69.71,0.669,,putative sugar epimerase YhfK
fasta::barcode01.ffn:bc01_00083,-,bc01_00083,-,N,435,68.05,0.68,,NUDIX domain protein
fasta::barcode01.ffn:bc01_00084,-,bc01_00084,-,N,1041,67.15,0.626,,Putative transport protein YhhT
fasta::barcode01.ffn:bc01_00085,-,bc01_00085,-,N,1116,68.55,0.657,,Acetyl esterase
fasta::barcode01.ffn:bc01_00086,-,bc01_00086,-,N,399,63.66,0.735,,Bacterial archaeo-eukaryotic release factor family 12
fasta::barcode01.ffn:bc01_00087,-,bc01_00087,-,N,333,66.97,0.635,,Thioredoxin
fasta::barcode01.ffn:bc01_00088,-,bc01_00088,-,N,1491,65.66,0.734,,Proline/betaine transporter
fasta::barcode01.ffn:bc01_00089,-,bc01_00089,-,N,459,68.41,0.768,,hypothetical protein
fasta::barcode01.ffn:bc01_00090,-,bc01_00090,-,N,831,70.04,0.718,,EcsC protein family protein
fasta::barcode01.ffn:bc01_00091,-,bc01_00091,-,N,639,67.61,0.669,,hypothetical protein
fasta::barcode01.ffn:bc01_00092,-,bc01_00092,-,N,1773,75.24,0.711,,hypothetical protein
fasta::barcode01.ffn:bc01_00093,-,bc01_00093,-,N,2265,74.35,0.745,,hypothetical protein
fasta::barcode01.ffn:bc01_00094,-,bc01_00094,-,N,1182,75.72,0.718,,hypothetical protein
fasta::barcode01.ffn:bc01_00095,-,bc01_00095,-,N,897,73.24,0.762,,hypothetical protein
fasta::barcode01.ffn:bc01_00096,-,bc01_00096,-,N,993,68.28,0.714,,ATPase family associated with various cellular activities (AAA)
fasta::barcode01.ffn:bc01_00097,-,bc01_00097,-,N,684,59.36,0.691,,hypothetical protein
fasta::barcode01.ffn:bc01_00098,-,bc01_00098,-,N,1335,62.92,0.773,,hypothetical protein
fasta::barcode01.ffn:bc01_00099,-,bc01_00099,-,N,1635,64.04,0.765,,Metalloprotease TldD
fasta::barcode01.ffn:bc01_00100,-,bc01_00100,-,N,1629,64.95,0.699,,hypothetical protein
fasta::barcode01.ffn:bc01_00101,-,bc01_00101,-,N,537,54,0.422,,hypothetical protein
fasta::barcode01.ffn:bc01_00102,-,bc01_00102,-,N,1017,65.68,0.803,,Fructose-16-bisphosphatase class 1
fasta::barcode01.ffn:bc01_00103,-,bc01_00103,-,N,1203,67.17,0.807,,Aspartate aminotransferase
fasta::barcode01.ffn:bc01_00104,-,bc01_00104,-,N,2127,70.05,0.768,,Metal-pseudopaline receptor CntO
fasta::barcode01.ffn:bc01_00105,-,bc01_00105,-,N,291,64.26,0.526,,hypothetical protein
fasta::barcode01.ffn:bc01_00106,-,bc01_00106,-,N,474,67.51,0.566,,hypothetical protein
fasta::barcode01.ffn:bc01_00107,-,bc01_00107,-,N,1530,61.83,0.73,,Aldehyde dehydrogenase
fasta::barcode01.ffn:bc01_00108,-,bc01_00108,-,N,393,61.32,0.605,,hypothetical protein
fasta::barcode01.ffn:bc01_00109,-,bc01_00109,-,N,162,68.52,0.609,,hypothetical protein
fasta::barcode01.ffn:bc01_00110,-,bc01_00110,-,N,396,68.94,0.623,,hypothetical protein
fasta::barcode01.ffn:bc01_00111,-,bc01_00111,-,N,942,62.63,0.768,,Non-homologous end joining protein Ku
fasta::barcode01.ffn:bc01_00112,-,bc01_00112,-,N,3006,67.96,0.616,,DNA ligase
fasta::barcode01.ffn:bc01_00113,-,bc01_00113,-,N,1161,67.01,0.701,,L-lactate dehydrogenase
fasta::barcode01.ffn:bc01_00114,-,bc01_00114,-,N,567,69.49,0.726,,Phospholipid methyltransferase
fasta::barcode01.ffn:bc01_00115,-,bc01_00115,-,N,1104,71.2,0.753,,Histidine kinase
fasta::barcode01.ffn:bc01_00116,-,bc01_00116,-,N,633,69.19,0.79,,two-component response regulator 
fasta::barcode01.ffn:bc01_00117,-,bc01_00117,-,N,1374,64.56,0.777,,hypothetical protein
fasta::barcode01.ffn:bc01_00118,-,bc01_00118,-,N,528,63.07,0.696,,hypothetical protein
fasta::barcode01.ffn:bc01_00119,-,bc01_00119,-,N,384,70.57,0.595,,hypothetical protein
fasta::barcode01.ffn:bc01_00120,-,bc01_00120,-,N,384,52.86,0.544,,hypothetical protein
fasta::barcode01.ffn:bc01_00121,-,bc01_00121,-,N,3342,68.82,0.685,,hypothetical protein
fasta::barcode01.ffn:bc01_00122,-,bc01_00122,-,N,1209,64.76,0.822,,Coxiella Dot/Icm type IVB secretion system translocated effector trans-2-enoyl-CoA reductase 
fasta::barcode01.ffn:bc01_00123,-,bc01_00123,-,N,291,58.76,0.553,,hypothetical protein
fasta::barcode01.ffn:bc01_00124,-,bc01_00124,-,N,1254,66.99,0.587,,GDSL-like Lipase/Acylhydrolase family protein
fasta::barcode01.ffn:bc01_00125,-,bc01_00125,-,N,1023,69.01,0.705,,2-dehydro-3-deoxygluconokinase
fasta::barcode01.ffn:bc01_00126,-,bc01_00126,-,N,2769,65.19,0.786,,TonB dependent receptor
fasta::barcode01.ffn:bc01_00127,-,bc01_00127,-,N,3201,63.39,0.759,,TonB dependent receptor
fasta::barcode01.ffn:bc01_00128,-,bc01_00128,-,N,978,67.69,0.698,,Pectinesterase A
fasta::barcode01.ffn:bc01_00129,-,bc01_00129,-,N,1044,64.75,0.756,,PL10: pectate lyase 
fasta::barcode01.ffn:bc01_00130,-,bc01_00130,-,N,3861,66.33,0.735,,hypothetical protein
fasta::barcode01.ffn:bc01_00131,-,bc01_00131,-,N,228,54.82,0.399,,hypothetical protein
fasta::barcode01.ffn:bc01_00132,-,bc01_00132,-,N,210,63.33,0.551,,hypothetical protein
fasta::barcode01.ffn:bc01_00133,-,bc01_00133,-,N,1257,48.85,0.274,,SIR2-like domain protein
fasta::barcode01.ffn:bc01_00134,-,bc01_00134,-,N,1833,50.46,0.261,,Helicase HerA central domain
fasta::barcode01.ffn:bc01_00135,-,bc01_00135,-,N,210,41.43,0.293,,KTSC domain protein
fasta::barcode01.ffn:bc01_00136,-,bc01_00136,-,N,699,54.36,0.345,,hypothetical protein
fasta::barcode01.ffn:bc01_00137,-,bc01_00137,-,N,816,61.03,0.599,,IS3 family transposase IS1404
fasta::barcode01.ffn:bc01_00138,-,bc01_00138,-,N,264,59.09,0.661,,IS3 family transposase IS1404
fasta::barcode01.ffn:bc01_00139,-,bc01_00139,-,N,2583,59.08,0.418,,hypothetical protein
fasta::barcode01.ffn:bc01_00140,-,bc01_00140,-,N,639,47.57,0.33,,hypothetical protein
fasta::barcode01.ffn:bc01_00141,-,bc01_00141,-,N,663,54.9,0.391,,hypothetical protein
fasta::barcode01.ffn:bc01_00142,-,bc01_00142,-,N,1692,57.15,0.606,,type IV secretion system component VirD4 
fasta::barcode01.ffn:bc01_00143,-,bc01_00143,-,N,858,69.93,0.732,,Lipase LipV
fasta::barcode01.ffn:bc01_00144,-,bc01_00144,-,N,957,68.34,0.797,,Ferrochelatase
fasta::barcode01.ffn:bc01_00145,-,bc01_00145,-,N,897,69.23,0.74,,Las17-binding protein actin regulator
fasta::barcode01.ffn:bc01_00146,-,bc01_00146,-,N,228,64.91,0.757,,Sec-independent protein translocase protein TatA
fasta::barcode01.ffn:bc01_00147,-,bc01_00147,-,N,588,69.39,0.655,,Sec-independent protein translocase protein TatB
fasta::barcode01.ffn:bc01_00148,-,bc01_00148,-,N,738,64.91,0.787,,Sec-independent protein translocase protein TatC
fasta::barcode01.ffn:bc01_00149,-,bc01_00149,-,N,594,60.77,0.499,,hypothetical protein
fasta::barcode01.ffn:bc01_00150,-,bc01_00150,-,N,900,68.44,0.802,,hypothetical protein
fasta::barcode01.ffn:bc01_00151,-,bc01_00151,-,N,765,69.93,0.689,,Glutamine amidotransferase class-I
fasta::barcode01.ffn:bc01_00152,-,bc01_00152,-,N,1812,68.93,0.781,,type IV pilus assembly ATPase PilB-like 
fasta::barcode01.ffn:bc01_00153,-,bc01_00153,-,N,909,64.14,0.753,,Glycine--tRNA ligase alpha subunit
fasta::barcode01.ffn:bc01_00154,-,bc01_00154,-,N,246,64.63,0.36,,hypothetical protein
fasta::barcode01.ffn:bc01_00155,-,bc01_00155,-,N,2196,65.66,0.661,,Glycine--tRNA ligase beta subunit
fasta::barcode01.ffn:bc01_00156,-,bc01_00156,-,N,1890,65.03,0.702,,Translocation and assembly module subunit TamA
fasta::barcode01.ffn:bc01_00157,-,bc01_00157,-,N,3858,68.71,0.745,,TamB inner membrane protein subunit of TAM complex
fasta::barcode01.ffn:bc01_00158,-,bc01_00158,-,N,423,66.67,0.584,,hypothetical protein
fasta::barcode01.ffn:bc01_00159,-,bc01_00159,-,N,450,67.78,0.635,,hypothetical protein
fasta::barcode01.ffn:bc01_00160,-,bc01_00160,-,N,228,65.79,0.591,,hypothetical protein
fasta::barcode01.ffn:bc01_00161,-,bc01_00161,-,N,1728,64.12,0.702,,Polyvinylalcohol dehydrogenase
fasta::barcode01.ffn:bc01_00162,-,bc01_00162,-,N,540,67.96,0.672,,Gluconokinase
fasta::barcode01.ffn:bc01_00163,-,bc01_00163,-,N,1383,65.15,0.721,,Inner membrane symporter YicJ
fasta::barcode01.ffn:bc01_00164,-,bc01_00164,-,N,2355,67.69,0.748,,cyclic beta 1-2 glucan synthetase 
fasta::barcode01.ffn:bc01_00165,-,bc01_00165,-,N,981,61.98,0.623,,IS5 family transposase IS1646
fasta::barcode01.ffn:bc01_00166,-,bc01_00166,-,N,156,68.59,0.424,,hypothetical protein
fasta::barcode01.ffn:bc01_00167,-,bc01_00167,-,N,3444,69.25,0.784,,Sensor histidine kinase RcsC
fasta::barcode01.ffn:bc01_00168,-,bc01_00168,-,N,582,67.53,0.688,,putative manganese efflux pump MntP
fasta::barcode01.ffn:bc01_00169,-,bc01_00169,-,N,1521,67.52,0.658,,Peptidase family S41
fasta::barcode01.ffn:bc01_00170,-,bc01_00170,-,N,1197,69.17,0.709,,Helix-turn-helix domain protein
fasta::barcode01.ffn:bc01_00171,-,bc01_00171,-,N,750,69.6,0.785,,Transcriptional regulator KdgR
fasta::barcode01.ffn:bc01_00172,-,bc01_00172,-,N,1299,63.97,0.703,,glucose/galactose transporter 
fasta::barcode01.ffn:bc01_00173,-,bc01_00173,-,N,369,63.96,0.581,,L-fucose mutarotase
fasta::barcode01.ffn:bc01_00174,-,bc01_00174,-,N,1326,67.72,0.808,,L-fuconate dehydratase
fasta::barcode01.ffn:bc01_00175,-,bc01_00175,-,N,858,65.85,0.799,,Ureidoglycolate lyase
fasta::barcode01.ffn:bc01_00176,-,bc01_00176,-,N,771,69.13,0.854,,flagellar-related 3-oxoacyl-ACP reductase 
fasta::barcode01.ffn:bc01_00177,-,bc01_00177,-,N,873,69.07,0.704,,Amidohydrolase
fasta::barcode01.ffn:bc01_00178,-,bc01_00178,-,N,1008,71.43,0.782,,Pyridoxal 4-dehydrogenase
fasta::barcode01.ffn:bc01_00179,-,bc01_00179,-,N,1635,66.85,0.701,,Non-reducing end alpha-L-arabinofuranosidase BoGH43A
fasta::barcode01.ffn:bc01_00180,-,bc01_00180,-,N,204,61.76,0.582,,hypothetical protein
fasta::barcode01.ffn:bc01_00181,-,bc01_00181,-,N,591,66.84,0.618,,Methylamine utilization protein MauD
fasta::barcode01.ffn:bc01_00182,-,bc01_00182,-,N,981,62.08,0.629,,IS5 family transposase IS1646
fasta::barcode01.ffn:bc01_00183,-,bc01_00183,-,N,909,63.59,0.748,,hypothetical protein
fasta::barcode01.ffn:bc01_00184,-,bc01_00184,-,N,669,65.17,0.713,,transcriptional regulator RcsB 
fasta::barcode01.ffn:bc01_00185,-,bc01_00185,-,N,1944,66.46,0.823,,Acetyl-coenzyme A synthetase
fasta::barcode01.ffn:bc01_00186,-,bc01_00186,-,N,1383,64.93,0.756,,DcaP outer membrane protein
fasta::barcode01.ffn:bc01_00187,-,bc01_00187,-,N,318,60.69,0.78,,Inner membrane protein YjcH
fasta::barcode01.ffn:bc01_00188,-,bc01_00188,-,N,1728,65.34,0.778,,Cation/acetate symporter ActP
fasta::barcode01.ffn:bc01_00189,-,bc01_00189,-,N,1098,61.38,0.652,,Glycerophosphoryl diester phosphodiesterase family protein
fasta::barcode01.ffn:bc01_00190,-,bc01_00190,-,N,885,67.57,0.597,,Putative peptidyl-prolyl cis-trans isomerase Cbf2
fasta::barcode01.ffn:bc01_00191,-,bc01_00191,-,N,807,69.52,0.537,,hypothetical protein
fasta::barcode01.ffn:bc01_00192,-,bc01_00192,-,N,1149,72.24,0.727,,N-acetylmannosamine kinase
fasta::barcode01.ffn:bc01_00193,-,bc01_00193,-,N,2673,66.4,0.719,,Vitamin B12 transporter BtuB
fasta::barcode01.ffn:bc01_00194,-,bc01_00194,-,N,1254,72.57,0.712,,Phosphodiester glycosidase
fasta::barcode01.ffn:bc01_00195,-,bc01_00195,-,N,852,56.92,0.525,,Ankyrin repeats (many copies)
fasta::barcode01.ffn:bc01_00196,-,bc01_00196,-,N,855,57.54,0.54,,Ankyrin repeats (3 copies)
fasta::barcode01.ffn:bc01_00197,-,bc01_00197,-,N,852,57.04,0.542,,Ankyrin repeats (3 copies)
fasta::barcode01.ffn:bc01_00198,-,bc01_00198,-,N,861,56.45,0.481,,Ankyrin repeats (3 copies)
fasta::barcode01.ffn:bc01_00199,-,bc01_00199,-,N,2361,68.45,0.613,,hypothetical protein
fasta::barcode01.ffn:bc01_00200,-,bc01_00200,-,N,561,69.7,0.626,,hypothetical protein
fasta::barcode01.ffn:bc01_00201,-,bc01_00201,-,N,780,67.18,0.807,,Exodeoxyribonuclease III
fasta::barcode01.ffn:bc01_00202,-,bc01_00202,-,N,435,65.29,0.695,,hypothetical protein
fasta::barcode01.ffn:bc01_00203,-,bc01_00203,-,N,252,58.73,0.621,,Transglycosylase associated protein
fasta::barcode01.ffn:bc01_00204,-,bc01_00204,-,N,615,71.22,0.702,,4'-phosphopantetheinyl transferase superfamily protein
fasta::barcode01.ffn:bc01_00205,-,bc01_00205,-,N,1593,66.48,0.685,,Alkaline phosphatase D
fasta::barcode01.ffn:bc01_00206,-,bc01_00206,-,N,639,69.33,0.742,,Ribosomal RNA small subunit methyltransferase G
fasta::barcode01.ffn:bc01_00207,-,bc01_00207,-,N,1818,67.77,0.785,,hypothetical protein
fasta::barcode01.ffn:bc01_00208,-,bc01_00208,-,N,387,71.83,0.767,,hypothetical protein
fasta::barcode01.ffn:bc01_00209,-,bc01_00209,-,N,1266,72.75,0.719,,Outer membrane efflux protein
fasta::barcode01.ffn:bc01_00210,-,bc01_00210,-,N,1266,69.51,0.722,,Barrel-sandwich domain of CusB or HlyD membrane-fusion
fasta::barcode01.ffn:bc01_00211,-,bc01_00211,-,N,642,58.26,0.414,,hypothetical protein
fasta::barcode01.ffn:bc01_00212,-,bc01_00212,-,N,3213,67.63,0.708,,multiple transferable resistance system protein MtrD 
fasta::barcode01.ffn:bc01_00213,-,bc01_00213,-,N,576,68.23,0.672,,hypothetical protein
fasta::barcode01.ffn:bc01_00214,-,bc01_00214,-,N,237,59.92,0.545,,50S ribosomal protein L28
fasta::barcode01.ffn:bc01_00215,-,bc01_00215,-,N,168,48.81,0.64,,50S ribosomal protein L33
fasta::barcode01.ffn:bc01_00216,-,bc01_00216,-,N,633,68.09,0.35,,hypothetical protein
fasta::barcode01.ffn:bc01_00217,-,bc01_00217,-,N,1023,63.54,0.741,,2-keto-4-carboxy-3-hexenedioate hydratase
fasta::barcode01.ffn:bc01_00218,-,bc01_00218,-,N,1056,70.93,0.754,,(4E)-oxalomesaconate Delta-isomerase
fasta::barcode01.ffn:bc01_00219,-,bc01_00219,-,N,672,70.54,0.771,,4-carboxy-4-hydroxy-2-oxoadipate aldolase
fasta::barcode01.ffn:bc01_00220,-,bc01_00220,-,N,1305,72.95,0.682,,LysR substrate binding domain protein
fasta::barcode01.ffn:bc01_00221,-,bc01_00221,-,N,1425,66.81,0.723,,Cardiolipin synthase A
fasta::barcode01.ffn:bc01_00222,-,bc01_00222,-,N,1389,70.77,0.666,,FAD-NAD(P)-binding protein
fasta::barcode01.ffn:bc01_00223,-,bc01_00223,-,N,2172,65.7,0.751,,DNA helicase II
fasta::barcode01.ffn:bc01_00224,-,bc01_00224,-,N,255,56.47,0.57,,hypothetical protein
fasta::barcode01.ffn:bc01_00225,-,bc01_00225,-,N,582,65.46,0.621,,Maltose O-acetyltransferase
fasta::barcode01.ffn:bc01_00226,-,bc01_00226,-,N,447,63.53,0.684,,Universal stress protein family protein
fasta::barcode01.ffn:bc01_00227,-,bc01_00227,-,N,840,70.95,0.703,,type VI secretion system hcp secretion island protein HsiA1 
fasta::barcode01.ffn:bc01_00228,-,bc01_00228,-,N,282,61.7,0.655,,hypothetical protein
fasta::barcode01.ffn:bc01_00229,-,bc01_00229,-,N,2784,68.32,0.793,,DNA polymerase I
fasta::barcode01.ffn:bc01_00230,-,bc01_00230,-,N,900,67.78,0.754,,Oxygen-dependent coproporphyrinogen-III oxidase
fasta::barcode01.ffn:bc01_00231,-,bc01_00231,-,N,570,69.82,0.706,,hypothetical protein
fasta::barcode01.ffn:bc01_00232,-,bc01_00232,-,N,705,66.81,0.702,,hypothetical protein
fasta::barcode01.ffn:bc01_00233,-,bc01_00233,-,N,2373,66.54,0.758,,CE1: acetyl xylan esterase  and 6 other functions.
fasta::barcode01.ffn:bc01_00234,-,bc01_00234,-,N,1341,70.17,0.714,,AMP-binding enzyme
fasta::barcode01.ffn:bc01_00235,-,bc01_00235,-,N,1008,69.35,0.75,,hypothetical protein
fasta::barcode01.ffn:bc01_00236,-,bc01_00236,-,N,1332,67.94,0.736,,Tryptophan halogenase
fasta::barcode01.ffn:bc01_00237,-,bc01_00237,-,N,270,61.85,0.745,,acyl carrier protein AcpC 
fasta::barcode01.ffn:bc01_00238,-,bc01_00238,-,N,747,68.67,0.671,,hypothetical protein
fasta::barcode01.ffn:bc01_00239,-,bc01_00239,-,N,750,65.2,0.624,,Bifunctional protein Aas
fasta::barcode01.ffn:bc01_00240,-,bc01_00240,-,N,288,69.1,0.655,,hypothetical protein
fasta::barcode01.ffn:bc01_00241,-,bc01_00241,-,N,975,66.26,0.709,,hypothetical protein
fasta::barcode01.ffn:bc01_00242,-,bc01_00242,-,N,621,70.37,0.717,,Outer membrane lipoprotein carrier protein LolA-like protein
fasta::barcode01.ffn:bc01_00243,-,bc01_00243,-,N,225,62.67,0.483,,hypothetical protein
fasta::barcode01.ffn:bc01_00244,-,bc01_00244,-,N,2367,67.64,0.663,,hypothetical protein
fasta::barcode01.ffn:bc01_00245,-,bc01_00245,-,N,438,68.95,0.72,,hypothetical protein
