USA,Database,Name,Accession,Type,Length,GC,CAI,Organism,Description
fasta::barcode71.ffn:bc71_00045,-,bc71_00045,-,N,1713,68.3,0.621,,BlaR1 peptidase M56
fasta::barcode71.ffn:bc71_00046,-,bc71_00046,-,N,852,68.31,0.527,,hypothetical protein
fasta::barcode71.ffn:bc71_00047,-,bc71_00047,-,N,1131,67.73,0.636,,Saccharopine dehydrogenase NADP binding domain protein
fasta::barcode71.ffn:bc71_00048,-,bc71_00048,-,N,789,67.3,0.686,,hypothetical protein
fasta::barcode71.ffn:bc71_00049,-,bc71_00049,-,N,2664,68.66,0.734,,Vitamin B12 transporter BtuB
fasta::barcode71.ffn:bc71_00050,-,bc71_00050,-,N,1158,70.38,0.721,,N-acetyl-D-glucosamine kinase
fasta::barcode71.ffn:bc71_00051,-,bc71_00051,-,N,2157,67.83,0.73,,AvrBs2
fasta::barcode71.ffn:bc71_00052,-,bc71_00052,-,N,1491,70.76,0.646,,RNase_H superfamily protein
fasta::barcode71.ffn:bc71_00053,-,bc71_00053,-,N,2496,67.63,0.793,,ATP-dependent RNA helicase DbpA
fasta::barcode71.ffn:bc71_00054,-,bc71_00054,-,N,1149,65.27,0.621,,putative protein
fasta::barcode71.ffn:bc71_00055,-,bc71_00055,-,N,663,67.72,0.791,,hypothetical protein
fasta::barcode71.ffn:bc71_00056,-,bc71_00056,-,N,318,62.58,0.545,,hypothetical protein
fasta::barcode71.ffn:bc71_00057,-,bc71_00057,-,N,372,64.52,0.578,,hypothetical protein
fasta::barcode71.ffn:bc71_00058,-,bc71_00058,-,N,519,63.58,0.733,,hypothetical protein
fasta::barcode71.ffn:bc71_00059,-,bc71_00059,-,N,600,64.17,0.628,,Glutathione-regulated potassium-efflux system ancillary protein KefF
fasta::barcode71.ffn:bc71_00060,-,bc71_00060,-,N,351,65.24,0.663,,putative HTH-type transcriptional regulator YybR
fasta::barcode71.ffn:bc71_00061,-,bc71_00061,-,N,204,56.37,0.425,,hypothetical protein
fasta::barcode71.ffn:bc71_00062,-,bc71_00062,-,N,903,48.95,0.322,,AAA domain protein
fasta::barcode71.ffn:bc71_00063,-,bc71_00063,-,N,972,46.91,0.28,,hypothetical protein
fasta::barcode71.ffn:bc71_00064,-,bc71_00064,-,N,156,65.38,0.413,,hypothetical protein
fasta::barcode71.ffn:bc71_00065,-,bc71_00065,-,N,840,56.9,0.427,,hypothetical protein
fasta::barcode71.ffn:bc71_00066,-,bc71_00066,-,N,447,64.43,0.54,,hypothetical protein
fasta::barcode71.ffn:bc71_00067,-,bc71_00067,-,N,1449,58.66,0.484,,hypothetical protein
fasta::barcode71.ffn:bc71_00068,-,bc71_00068,-,N,615,58.54,0.476,,hypothetical protein
fasta::barcode71.ffn:bc71_00069,-,bc71_00069,-,N,222,65.32,0.658,,hypothetical protein
fasta::barcode71.ffn:bc71_00070,-,bc71_00070,-,N,225,64.44,0.642,,hypothetical protein
fasta::barcode71.ffn:bc71_00071,-,bc71_00071,-,N,627,66.83,0.673,,putative protein YyaP
fasta::barcode71.ffn:bc71_00072,-,bc71_00072,-,N,276,61.23,0.682,,CsbD-like protein
fasta::barcode71.ffn:bc71_00073,-,bc71_00073,-,N,228,66.67,0.692,,Transcriptional regulatory protein DesR
fasta::barcode71.ffn:bc71_00074,-,bc71_00074,-,N,867,63.09,0.602,,PIN domain protein
fasta::barcode71.ffn:bc71_00075,-,bc71_00075,-,N,1221,72.89,0.706,,HDOD domain protein
fasta::barcode71.ffn:bc71_00076,-,bc71_00076,-,N,441,66.89,0.701,,Activator of Hsp90 ATPase -like protein
fasta::barcode71.ffn:bc71_00077,-,bc71_00077,-,N,312,68.59,0.713,,hypothetical protein
fasta::barcode71.ffn:bc71_00078,-,bc71_00078,-,N,1065,69.2,0.744,,Protease PrtS
fasta::barcode71.ffn:bc71_00079,-,bc71_00079,-,N,657,70.02,0.672,,putative sugar epimerase YhfK
fasta::barcode71.ffn:bc71_00080,-,bc71_00080,-,N,435,67.13,0.656,,NUDIX domain protein
fasta::barcode71.ffn:bc71_00081,-,bc71_00081,-,N,1041,67.34,0.64,,Putative transport protein YhhT
fasta::barcode71.ffn:bc71_00082,-,bc71_00082,-,N,1116,68.37,0.654,,Acetyl esterase
fasta::barcode71.ffn:bc71_00083,-,bc71_00083,-,N,399,63.41,0.721,,Bacterial archaeo-eukaryotic release factor family 12
fasta::barcode71.ffn:bc71_00084,-,bc71_00084,-,N,333,66.07,0.65,,Thioredoxin
fasta::barcode71.ffn:bc71_00085,-,bc71_00085,-,N,1491,65.33,0.724,,Proline/betaine transporter
fasta::barcode71.ffn:bc71_00086,-,bc71_00086,-,N,459,69.28,0.774,,hypothetical protein
fasta::barcode71.ffn:bc71_00087,-,bc71_00087,-,N,831,70.16,0.726,,EcsC protein family protein
fasta::barcode71.ffn:bc71_00088,-,bc71_00088,-,N,639,67.29,0.653,,hypothetical protein
fasta::barcode71.ffn:bc71_00089,-,bc71_00089,-,N,1755,75.44,0.72,,hypothetical protein
fasta::barcode71.ffn:bc71_00090,-,bc71_00090,-,N,2265,74.53,0.752,,hypothetical protein
fasta::barcode71.ffn:bc71_00091,-,bc71_00091,-,N,1182,75.8,0.712,,hypothetical protein
fasta::barcode71.ffn:bc71_00092,-,bc71_00092,-,N,897,73.47,0.779,,hypothetical protein
fasta::barcode71.ffn:bc71_00093,-,bc71_00093,-,N,993,68.48,0.739,,ATPase family associated with various cellular activities (AAA)
fasta::barcode71.ffn:bc71_00094,-,bc71_00094,-,N,684,59.8,0.712,,hypothetical protein
fasta::barcode71.ffn:bc71_00095,-,bc71_00095,-,N,1335,63.22,0.782,,hypothetical protein
fasta::barcode71.ffn:bc71_00096,-,bc71_00096,-,N,597,62.81,0.803,,hypothetical protein
fasta::barcode71.ffn:bc71_00097,-,bc71_00097,-,N,963,63.97,0.729,,hypothetical protein
fasta::barcode71.ffn:bc71_00098,-,bc71_00098,-,N,1629,64.7,0.696,,hypothetical protein
fasta::barcode71.ffn:bc71_00099,-,bc71_00099,-,N,561,52.58,0.397,,hypothetical protein
fasta::barcode71.ffn:bc71_00100,-,bc71_00100,-,N,1017,65.59,0.803,,Fructose-16-bisphosphatase class 1
fasta::barcode71.ffn:bc71_00101,-,bc71_00101,-,N,1203,67.33,0.819,,Aspartate aminotransferase
fasta::barcode71.ffn:bc71_00102,-,bc71_00102,-,N,2127,70,0.763,,Metal-pseudopaline receptor CntO
fasta::barcode71.ffn:bc71_00103,-,bc71_00103,-,N,291,62.89,0.554,,hypothetical protein
fasta::barcode71.ffn:bc71_00104,-,bc71_00104,-,N,474,67.09,0.565,,hypothetical protein
fasta::barcode71.ffn:bc71_00105,-,bc71_00105,-,N,1530,62.09,0.738,,Acetaldehyde dehydrogenase 2
fasta::barcode71.ffn:bc71_00106,-,bc71_00106,-,N,393,61.07,0.612,,hypothetical protein
fasta::barcode71.ffn:bc71_00107,-,bc71_00107,-,N,162,67.28,0.602,,hypothetical protein
fasta::barcode71.ffn:bc71_00108,-,bc71_00108,-,N,396,68.18,0.6,,hypothetical protein
fasta::barcode71.ffn:bc71_00109,-,bc71_00109,-,N,942,62.85,0.777,,Non-homologous end joining protein Ku
fasta::barcode71.ffn:bc71_00110,-,bc71_00110,-,N,3006,67.53,0.607,,DNA ligase
fasta::barcode71.ffn:bc71_00111,-,bc71_00111,-,N,1161,67.61,0.718,,L-lactate dehydrogenase
fasta::barcode71.ffn:bc71_00112,-,bc71_00112,-,N,567,70.02,0.727,,Phospholipid methyltransferase
fasta::barcode71.ffn:bc71_00113,-,bc71_00113,-,N,1104,71.11,0.765,,Histidine kinase
fasta::barcode71.ffn:bc71_00114,-,bc71_00114,-,N,633,69.19,0.785,,Transcriptional regulatory protein LnrK
fasta::barcode71.ffn:bc71_00115,-,bc71_00115,-,N,1374,64.26,0.78,,hypothetical protein
fasta::barcode71.ffn:bc71_00116,-,bc71_00116,-,N,528,62.31,0.7,,hypothetical protein
fasta::barcode71.ffn:bc71_00117,-,bc71_00117,-,N,384,72.66,0.598,,hypothetical protein
fasta::barcode71.ffn:bc71_00118,-,bc71_00118,-,N,384,53.39,0.553,,hypothetical protein
fasta::barcode71.ffn:bc71_00119,-,bc71_00119,-,N,3255,68.94,0.703,,hypothetical protein
fasta::barcode71.ffn:bc71_00120,-,bc71_00120,-,N,1209,64.52,0.809,,Coxiella Dot/Icm type IVB secretion system translocated effector trans-2-enoyl-CoA reductase 
fasta::barcode71.ffn:bc71_00121,-,bc71_00121,-,N,291,58.76,0.565,,hypothetical protein
fasta::barcode71.ffn:bc71_00122,-,bc71_00122,-,N,1254,66.51,0.592,,GDSL-like Lipase/Acylhydrolase family protein
fasta::barcode71.ffn:bc71_00123,-,bc71_00123,-,N,1023,68.72,0.694,,2-dehydro-3-deoxygluconokinase
fasta::barcode71.ffn:bc71_00124,-,bc71_00124,-,N,2769,65.26,0.805,,TonB dependent receptor
fasta::barcode71.ffn:bc71_00125,-,bc71_00125,-,N,3201,62.92,0.755,,TonB dependent receptor
fasta::barcode71.ffn:bc71_00126,-,bc71_00126,-,N,978,66.97,0.711,,Pectinesterase A
fasta::barcode71.ffn:bc71_00127,-,bc71_00127,-,N,1044,64.46,0.746,,PL10: pectate lyase 
fasta::barcode71.ffn:bc71_00128,-,bc71_00128,-,N,3882,65.79,0.735,,hypothetical protein
fasta::barcode71.ffn:bc71_00129,-,bc71_00129,-,N,210,62.38,0.541,,hypothetical protein
fasta::barcode71.ffn:bc71_00130,-,bc71_00130,-,N,384,59.9,0.415,,hypothetical protein
fasta::barcode71.ffn:bc71_00131,-,bc71_00131,-,N,201,56.22,0.577,,KTSC domain protein
fasta::barcode71.ffn:bc71_00132,-,bc71_00132,-,N,696,55.17,0.328,,TIR domain protein
fasta::barcode71.ffn:bc71_00133,-,bc71_00133,-,N,981,61.98,0.631,,IS5 family transposase IS1646
fasta::barcode71.ffn:bc71_00134,-,bc71_00134,-,N,1215,62.3,0.494,,IS4 family transposase IS1481A
fasta::barcode71.ffn:bc71_00135,-,bc71_00135,-,N,3072,59.9,0.522,,RHS Repeat protein
fasta::barcode71.ffn:bc71_00136,-,bc71_00136,-,N,1338,63.9,0.592,,IS5 family transposase IS1478
fasta::barcode71.ffn:bc71_00137,-,bc71_00137,-,N,1251,57.47,0.433,,hypothetical protein
fasta::barcode71.ffn:bc71_00138,-,bc71_00138,-,N,672,64.58,0.613,,hypothetical protein
fasta::barcode71.ffn:bc71_00139,-,bc71_00139,-,N,333,66.97,0.668,,hypothetical protein
fasta::barcode71.ffn:bc71_00140,-,bc71_00140,-,N,3117,67.18,0.718,,GH13: alpha-amylase  and 31 other functions.
fasta::barcode71.ffn:bc71_00141,-,bc71_00141,-,N,3351,65.8,0.784,,GH13: alpha-amylase  and 31 other functions.
fasta::barcode71.ffn:bc71_00142,-,bc71_00142,-,N,2196,68.08,0.773,,14-alpha-glucan branching enzyme GlgB
fasta::barcode71.ffn:bc71_00143,-,bc71_00143,-,N,519,56.26,0.444,,IS5 family transposase IS1480b
fasta::barcode71.ffn:bc71_00144,-,bc71_00144,-,N,225,59.11,0.632,,IS5 family transposase IS1480b
fasta::barcode71.ffn:bc71_00145,-,bc71_00145,-,N,300,68.33,0.646,,hypothetical protein
fasta::barcode71.ffn:bc71_00146,-,bc71_00146,-,N,273,67.03,0.648,,hypothetical protein
fasta::barcode71.ffn:bc71_00147,-,bc71_00147,-,N,1536,66.6,0.693,,PepSY-associated TM region
fasta::barcode71.ffn:bc71_00148,-,bc71_00148,-,N,465,67.74,0.644,,Calcineurin-like phosphoesterase superfamily domain protein
fasta::barcode71.ffn:bc71_00149,-,bc71_00149,-,N,1149,66.75,0.679,,D-threo-aldose 1-dehydrogenase
fasta::barcode71.ffn:bc71_00150,-,bc71_00150,-,N,837,68.1,0.648,,CE12: pectin acetylesterase  and 2 other functions.
fasta::barcode71.ffn:bc71_00151,-,bc71_00151,-,N,1623,68.7,0.701,,Para-nitrobenzyl esterase
fasta::barcode71.ffn:bc71_00152,-,bc71_00152,-,N,1056,70.74,0.7,,alpha/beta hydrolase fold protein
fasta::barcode71.ffn:bc71_00153,-,bc71_00153,-,N,822,66.42,0.696,,2-keto-4-pentenoate hydratase
fasta::barcode71.ffn:bc71_00154,-,bc71_00154,-,N,999,66.17,0.751,,Solute-binding protein
fasta::barcode71.ffn:bc71_00155,-,bc71_00155,-,N,522,65.71,0.736,,Tripartite ATP-independent periplasmic transporters DctQ component
fasta::barcode71.ffn:bc71_00156,-,bc71_00156,-,N,1284,65.03,0.729,,Sialic acid TRAP transporter permease protein SiaT
fasta::barcode71.ffn:bc71_00157,-,bc71_00157,-,N,1581,67.36,0.813,,GH43: beta-xylosidase  and 10 other functions.
fasta::barcode71.ffn:bc71_00158,-,bc71_00158,-,N,1059,69.03,0.791,,sugar-binding transcriptional regulator LacI family 
fasta::barcode71.ffn:bc71_00159,-,bc71_00159,-,N,855,65.38,0.813,,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
fasta::barcode71.ffn:bc71_00160,-,bc71_00160,-,N,756,67.46,0.842,,flagellar-related 3-oxoacyl-ACP reductase 
fasta::barcode71.ffn:bc71_00161,-,bc71_00161,-,N,657,64.99,0.822,,Ribose/Galactose Isomerase
fasta::barcode71.ffn:bc71_00162,-,bc71_00162,-,N,1116,67.38,0.725,,CE12: pectin acetylesterase  and 2 other functions.
fasta::barcode71.ffn:bc71_00163,-,bc71_00163,-,N,645,68.22,0.738,,hypothetical protein
fasta::barcode71.ffn:bc71_00164,-,bc71_00164,-,N,891,65.88,0.758,,Phenylalanine-4-hydroxylase
fasta::barcode71.ffn:bc71_00165,-,bc71_00165,-,N,483,68.12,0.739,,DNA-binding transcriptional activator DecR
fasta::barcode71.ffn:bc71_00166,-,bc71_00166,-,N,2229,65.72,0.768,,ferripyoverdine receptor FpvA 
fasta::barcode71.ffn:bc71_00167,-,bc71_00167,-,N,1038,67.73,0.746,,Patatin-like phospholipase
fasta::barcode71.ffn:bc71_00168,-,bc71_00168,-,N,1017,69.52,0.789,,Mitochondrial biogenesis AIM24
fasta::barcode71.ffn:bc71_00169,-,bc71_00169,-,N,837,67.14,0.675,,ATP-binding hydrophilic protein ChuV 
fasta::barcode71.ffn:bc71_00170,-,bc71_00170,-,N,1206,66.17,0.766,,Fatty acid desaturase
fasta::barcode71.ffn:bc71_00171,-,bc71_00171,-,N,393,68.45,0.704,,EF hand
fasta::barcode71.ffn:bc71_00172,-,bc71_00172,-,N,738,68.56,0.734,,iron(III ABC transporter ATP-binding protein 
fasta::barcode71.ffn:bc71_00173,-,bc71_00173,-,N,1473,67.14,0.717,,Substrate binding domain of ABC-type glycine betaine transport system
fasta::barcode71.ffn:bc71_00174,-,bc71_00174,-,N,1182,70.81,0.662,,hercynylcysteine sulfoxide lyase
fasta::barcode71.ffn:bc71_00175,-,bc71_00175,-,N,1284,66.12,0.722,,Hercynine oxygenase
fasta::barcode71.ffn:bc71_00176,-,bc71_00176,-,N,987,65.86,0.756,,Histidine N-alpha-methyltransferase
fasta::barcode71.ffn:bc71_00177,-,bc71_00177,-,N,273,71.06,0.643,,hypothetical protein
fasta::barcode71.ffn:bc71_00178,-,bc71_00178,-,N,3711,66.99,0.751,,Pyruvate ferredoxin/flavodoxin oxidoreductase
fasta::barcode71.ffn:bc71_00179,-,bc71_00179,-,N,639,69.95,0.724,,hypothetical protein
fasta::barcode71.ffn:bc71_00180,-,bc71_00180,-,N,918,66.34,0.707,,Membrane transport protein
fasta::barcode71.ffn:bc71_00181,-,bc71_00181,-,N,1065,70.05,0.613,,hypothetical protein
fasta::barcode71.ffn:bc71_00182,-,bc71_00182,-,N,633,67.77,0.744,,CobQ/CobB/MinD/ParA nucleotide binding domain protein
fasta::barcode71.ffn:bc71_00183,-,bc71_00183,-,N,477,70.86,0.765,,putative protein
fasta::barcode71.ffn:bc71_00184,-,bc71_00184,-,N,573,64.57,0.656,,YceI-like domain protein
fasta::barcode71.ffn:bc71_00185,-,bc71_00185,-,N,1983,67.42,0.753,,Cardiolipin synthase C
fasta::barcode71.ffn:bc71_00186,-,bc71_00186,-,N,429,66.67,0.814,,Putative esterase
fasta::barcode71.ffn:bc71_00187,-,bc71_00187,-,N,804,67.91,0.726,,Acyltransferase
fasta::barcode71.ffn:bc71_00188,-,bc71_00188,-,N,987,68.49,0.761,,Serine aminopeptidase S33
fasta::barcode71.ffn:bc71_00189,-,bc71_00189,-,N,2073,70.86,0.774,,GT41: UDP-GlcNAc: peptide beta-N-acetylglucosaminyltransferase  and 1 other functions.
fasta::barcode71.ffn:bc71_00190,-,bc71_00190,-,N,612,66.83,0.767,,hypothetical protein
fasta::barcode71.ffn:bc71_00191,-,bc71_00191,-,N,825,70.3,0.644,,META domain protein
fasta::barcode71.ffn:bc71_00192,-,bc71_00192,-,N,792,64.39,0.737,,Undecaprenyl-diphosphatase
fasta::barcode71.ffn:bc71_00193,-,bc71_00193,-,N,1410,62.06,0.816,,Glutamine synthetase
fasta::barcode71.ffn:bc71_00194,-,bc71_00194,-,N,339,63.42,0.727,,Nitrogen regulatory protein P-II 2
fasta::barcode71.ffn:bc71_00195,-,bc71_00195,-,N,1443,66.94,0.741,,Ammonia channel
fasta::barcode71.ffn:bc71_00196,-,bc71_00196,-,N,1056,70.45,0.726,,two-component sensor kinase 
fasta::barcode71.ffn:bc71_00197,-,bc71_00197,-,N,1431,69.39,0.724,,two-component response regulator PilR 
fasta::barcode71.ffn:bc71_00198,-,bc71_00198,-,N,381,67.72,0.55,,hypothetical protein
fasta::barcode71.ffn:bc71_00199,-,bc71_00199,-,N,603,70.81,0.63,,Gifsy-2 prophage: superoxide dismutase precursor (Cu-Zn 
fasta::barcode71.ffn:bc71_00200,-,bc71_00200,-,N,648,69.75,0.767,,Superoxide dismutase-like protein YojM
fasta::barcode71.ffn:bc71_00201,-,bc71_00201,-,N,438,65.98,0.637,,Metallothiol transferase FosB
fasta::barcode71.ffn:bc71_00202,-,bc71_00202,-,N,885,68.81,0.729,,hypothetical protein
fasta::barcode71.ffn:bc71_00203,-,bc71_00203,-,N,1281,68.46,0.779,,3-ketoacyl-CoA thiolase FadI
fasta::barcode71.ffn:bc71_00204,-,bc71_00204,-,N,543,67.22,0.709,,hypothetical protein
fasta::barcode71.ffn:bc71_00205,-,bc71_00205,-,N,1266,68.88,0.739,,hypothetical protein
fasta::barcode71.ffn:bc71_00206,-,bc71_00206,-,N,978,69.33,0.648,,HemX putative uroporphyrinogen-III C-methyltransferase
fasta::barcode71.ffn:bc71_00207,-,bc71_00207,-,N,777,72.07,0.66,,Uroporphyrinogen-III synthase
fasta::barcode71.ffn:bc71_00208,-,bc71_00208,-,N,810,63.7,0.64,,glycosyltransferase
fasta::barcode71.ffn:bc71_00209,-,bc71_00209,-,N,471,67.52,0.652,,Putative thioesterase (yiiD_Cterm)
fasta::barcode71.ffn:bc71_00210,-,bc71_00210,-,N,423,68.56,0.738,,hypothetical protein
fasta::barcode71.ffn:bc71_00211,-,bc71_00211,-,N,438,65.53,0.786,,putative protein YibN
fasta::barcode71.ffn:bc71_00212,-,bc71_00212,-,N,513,64.33,0.759,,Protein-export protein SecB
fasta::barcode71.ffn:bc71_00213,-,bc71_00213,-,N,1026,67.64,0.69,,Glycerol-3-phosphate dehydrogenase [NAD(P)+]
fasta::barcode71.ffn:bc71_00214,-,bc71_00214,-,N,597,59.97,0.691,,hypothetical protein
fasta::barcode71.ffn:bc71_00215,-,bc71_00215,-,N,1728,65.51,0.704,,Pyruvate dehydrogenase [ubiquinone]
fasta::barcode71.ffn:bc71_00216,-,bc71_00216,-,N,255,68.63,0.729,,hypothetical protein
fasta::barcode71.ffn:bc71_00217,-,bc71_00217,-,N,330,70,0.608,,Major Facilitator Superfamily protein
fasta::barcode71.ffn:bc71_00218,-,bc71_00218,-,N,477,64.15,0.642,,tRNA (cytidine(34)-2'-O)-methyltransferase
fasta::barcode71.ffn:bc71_00219,-,bc71_00219,-,N,459,71.46,0.746,,hypothetical protein
fasta::barcode71.ffn:bc71_00220,-,bc71_00220,-,N,321,65.11,0.644,,hypothetical protein
fasta::barcode71.ffn:bc71_00221,-,bc71_00221,-,N,1017,62.54,0.709,,Acyl-CoA:acyl-CoA alkyltransferase
fasta::barcode71.ffn:bc71_00222,-,bc71_00222,-,N,1149,56.92,0.501,,Coxiella Dot/Icm type IVB secretion system translocated effector 
fasta::barcode71.ffn:bc71_00223,-,bc71_00223,-,N,1632,53.19,0.419,,DNA methylase
fasta::barcode71.ffn:bc71_00224,-,bc71_00224,-,N,2502,61.31,0.499,,Type III restriction enzyme res subunit
fasta::barcode71.ffn:bc71_00225,-,bc71_00225,-,N,903,65.78,0.755,,b-ketoadipate enol-lactone hydrolase protein
fasta::barcode71.ffn:bc71_00226,-,bc71_00226,-,N,384,66.93,0.623,,Putative zinc- or iron-chelating domain protein
fasta::barcode71.ffn:bc71_00227,-,bc71_00227,-,N,1782,67.06,0.65,,Olefin beta-lactone synthetase
fasta::barcode71.ffn:bc71_00228,-,bc71_00228,-,N,1011,65.38,0.627,,2-alkyl-3-oxoalkanoate reductase
fasta::barcode71.ffn:bc71_00229,-,bc71_00229,-,N,159,59.12,0.816,,hypothetical protein
fasta::barcode71.ffn:bc71_00230,-,bc71_00230,-,N,483,62.11,0.553,,hypothetical protein
fasta::barcode71.ffn:bc71_00231,-,bc71_00231,-,N,1107,66.76,0.718,,D-alanine--D-alanine ligase A
fasta::barcode71.ffn:bc71_00232,-,bc71_00232,-,N,645,72.25,0.747,,Ubiquinone biosynthesis accessory factor UbiJ
fasta::barcode71.ffn:bc71_00233,-,bc71_00233,-,N,1674,67.32,0.78,,putative protein kinase UbiB
fasta::barcode71.ffn:bc71_00234,-,bc71_00234,-,N,738,65.99,0.686,,tRNA pseudouridine synthase C
fasta::barcode71.ffn:bc71_00235,-,bc71_00235,-,N,543,66.85,0.777,,hypothetical protein
fasta::barcode71.ffn:bc71_00236,-,bc71_00236,-,N,432,67.59,0.698,,Peptidyl-tRNA hydrolase ArfB
fasta::barcode71.ffn:bc71_00237,-,bc71_00237,-,N,630,67.46,0.724,,Acyltransferase
fasta::barcode71.ffn:bc71_00238,-,bc71_00238,-,N,1008,66.27,0.71,,Isoaspartyl peptidase
fasta::barcode71.ffn:bc71_00239,-,bc71_00239,-,N,2169,63.07,0.773,,Dipeptidyl carboxypeptidase
fasta::barcode71.ffn:bc71_00240,-,bc71_00240,-,N,2160,62.08,0.566,,XopN
fasta::barcode71.ffn:bc71_00241,-,bc71_00241,-,N,1053,68,0.685,,putative protein
